Firearm Reference Number,Make,Model,Individual Amount
148827,Tokarev,KO-SVT,1550
149886,K&M Arms,M17S-C,1550
182582,Jard,J68,1550
185844,Grand Power,Stribog SR9A2,1550
189606,Trojan Firearms,TFA-PCC9G,1550
133658,Xtreme Machining,XR15,1560
139060,Head Down,HD-15,1560
141283,Hogan Manufacturing,H-415,1560
141284,Hogan Manufacturing,H-416,1560
152988,Double Star,Star-15 3GR,1565
18102,Colt,AR15A2 Sporter HBar,1570
126142,Rock River Arms,LAR-15 Coyote,1570
126144,Rock River Arms,LAR-15 Predator Pursuit,1570
133259,Rock River Arms,LAR-15 ATH,1570
141486,Kiss Tactical,KISS-15,1570
141487,Kiss Tactical,K-15SE,1570
146572,FN,FN15,1570
147622,Core,Core-15,1570
152307,Core,Core-15,1570
119776,Bushmaster,XM15E2S Varminter,1580
127613,Ruger,Mini-14 Ranch Rifle LET,1580
135759,Sun Devil,AR15 Pistol,1580
141607,Rock River Arms,LAR-15LH,1580
153327,Palmetto State Armory,PA-10,1580
170845,F-1 Firearms,FDR-15 CA,1580
196063,CZ,CZ Scorpion EVO 3 S2 Pistol Micro,1580
63944,Armscorp,US Rifle M14,1590
67394,La France Specialties,M16K,1590
125141,Smith & Wesson,M&P 15T,1590
127077,DPMS,LR-260 Panther,1590
136880,SIG Sauer,SIG M400,1590
195914,Radical Firearms,SM2000,1590
25438,Colt,AR15A3 Tactical Carbine,1600
133578,Czech Small Arms,SA VZ58 Sporter 7.62,1600
145026,Czech Small Arms,SA VZ58 Sporter 7.62,1600
179902,Black Creek Labs,BCL102,1600
186562,Derya Arms,MK10 Gen 2,1600
118013,Cobra,MARK 1 Carbine,1615
120476,Cobra,MARK 2 Carbine,1615
34192,Ruger,No 1,1620
34988,Colt,CAR15A3 HBar Elite,1620
124559,Alexander Arms,AAR15 Grendel Overwatch,1620
142622,Troy Defense,Troy M4A1 Carbine,1620
143201,Advanced Armament Corporation,MPW,1620
168942,Brownell's,BRN-16A1,1620
196585,Black Creek Labs,SRV2 Siberian,1625
127934,Rock River Arms,LAR-458,1630
129751,STI International,AR15 Custom Rifle,1630
133464,BCM Rifle Company,M4A1,1630
142980,Smith & Wesson,M&P 10,1630
124947,Stag Arms,Stag-15,1635
117783,Eagle Arms Division Of Armalite,AR-10,1640
125590,Sun Devil,SD15,1640
128272,Socom Firearms Corporation,Stubby ARC,1640
141605,Rock River Arms,LAR-47,1640
160426,Diamondback Firearms,DB-308,1640
177984,Black Rain Ordnance,SPEC15,1640
179963,Black Creek Labs,BCL15 Pistol,1640
18183,Colt,M4 Carbine Match Target,1650
119837,Rock River Arms,LAR-15 Varmint,1650
133585,Winchester,SX-AR,1650
34530,Federal Ordnance,M14SA US Rifle,1660
49107,Colt,Colts Law Enforcement Carbine,1660
130448,Smith & Wesson,M&P 15FT,1660
131671,Thompson Machine,ARSSL,1660
133197,American Spirit Arms,ASA15 Pistol,1660
141292,CMMG,MK-4,1660
142459,Ruger,SR556 VT,1660
178302,Savage,MSR-15,1660
166182,Arms East,VZN-58,1670
177184,Dark Storm Industries,DS-15,1670
195943,Live Free Armory,LF-10,1670
125549,Rock River Arms,LAR-15 National Match,1680
126666,Ruger,Mini-14 Ranch Target Rifle,1685
30152,Weatherby,Classic MARK 1,1690
31865,Springfield Armory,US Rifle M1A-A1 Bush Rifle,1690
127351,Serbu,RN-50,1690
128962,MGI,Marck 15,1690
158930,Quartercircle10,GSF,1690
166282,Stoner,SR-30,1690
177744,Aero Precision,P-15 PEW,1690
185825,Brownell's,BRN-601,1690
127616,Ruger,Mini-14 Ranch Rifle LE,1695
197182,SLR Rifleworks,SLR-B30,1695
2570,CZ,VZ52,1700
